ID	adj.P.Val	P.Value	t	logFC	Gene.symbol
207511_s_at	4.39E-02	2.16E-03	3.4574763	1.26584892	CNPPD1
209955_s_at	4.39E-02	2.16E-03	-3.4574189	-2.12993863	FAP
44822_s_at	4.40E-02	2.16E-03	-3.4569777	-0.58829473	MIER2
220161_s_at	4.40E-02	2.17E-03	3.45639	1.89219005	EPB41L4B
238113_at	4.40E-02	2.17E-03	3.4561214	1.06827779	SMIM2-AS1
212227_x_at	4.41E-02	2.17E-03	-3.4555524	-0.59050985	EIF1
235802_at	4.41E-02	2.17E-03	-3.4555045	-1.23757032	PLD4
212549_at	4.41E-02	2.17E-03	-3.4552365	-0.90551346	STAT5B
222775_s_at	4.41E-02	2.17E-03	3.4550828	0.81505333	MRPL35
218326_s_at	4.41E-02	2.18E-03	3.4543109	1.30257038	LGR4
225320_at	4.41E-02	2.18E-03	3.4543	0.99962526	MCU
205382_s_at	4.41E-02	2.18E-03	-3.4542239	-1.5890765	CFD
224075_s_at	4.41E-02	2.18E-03	3.4539607	1.3733454	VSX1
214472_at	4.41E-02	2.18E-03	3.453953	1.54692915	HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A///HIST1H2AD
205582_s_at	4.42E-02	2.18E-03	-3.4530159	-1.64785704	GGT5
226731_at	4.42E-02	2.18E-03	-3.452983	-1.01083244	ITGA1
208407_s_at	4.43E-02	2.19E-03	3.4515054	1.06008409	TMX2-CTNND1///CTNND1
1553928_at	4.43E-02	2.19E-03	3.451477	0.81712558	ELMOD2
205114_s_at	4.43E-02	2.19E-03	-3.4514367	-1.35016579	CCL3L3///CCL3L1///CCL3
236565_s_at	4.43E-02	2.19E-03	-3.4511917	-1.20337268	LARP6
210922_at	4.43E-02	2.19E-03	-3.4511888	-1.68920064	
1556989_at	4.43E-02	2.19E-03	-3.4509734	-1.35682241	
204086_at	4.45E-02	2.20E-03	-3.4493048	-1.97827111	PRAME
227474_at	4.45E-02	2.21E-03	3.4488573	1.73034123	PAX8-AS1
200642_at	4.46E-02	2.21E-03	3.4479664	0.52226175	SOD1
236936_at	4.46E-02	2.21E-03	-3.4473312	-1.54404019	
211564_s_at	4.46E-02	2.21E-03	-3.4471699	-2.34353602	PDLIM4
205542_at	4.47E-02	2.22E-03	3.4467681	1.98483675	STEAP1
1556325_at	4.47E-02	2.22E-03	-3.4465384	-1.75622407	FILIP1
205757_at	4.47E-02	2.22E-03	3.4460995	1.25755653	ENTPD5
220987_s_at	4.47E-02	2.22E-03	3.4458384	0.82961872	NUAK2///AKIP1
220615_s_at	4.47E-02	2.22E-03	3.4454479	1.20112569	FAR2
203859_s_at	4.47E-02	2.22E-03	-3.4454037	-1.54213127	PALM
201858_s_at	4.47E-02	2.22E-03	-3.4453483	-1.37970774	SRGN
237009_at	4.47E-02	2.22E-03	-3.445273	-2.02536675	
220622_at	4.47E-02	2.23E-03	3.4449615	2.30588581	LRRC31
237032_x_at	4.48E-02	2.23E-03	3.4439067	1.24282988	SIPA1L1
212521_s_at	4.48E-02	2.23E-03	3.4435614	1.02351008	PDE8A
214033_at	4.48E-02	2.23E-03	3.4435088	0.85397829	LOC101930322///ABCC6P2///ABCC6P1///ABCC6
228863_at	4.48E-02	2.23E-03	-3.4433841	-1.3810914	PCDH17
220434_at	4.48E-02	2.24E-03	-3.4431961	-1.77103945	COQ8B
215071_s_at	4.48E-02	2.24E-03	3.4431906	1.15609766	HIST1H2AC
237552_at	4.49E-02	2.24E-03	-3.442513	-1.56227721	LOC100505817
213960_at	4.49E-02	2.24E-03	-3.4420983	-2.37766121	NTRK3
235651_at	4.50E-02	2.25E-03	3.4412008	1.58472232	TTC22
239386_at	4.50E-02	2.25E-03	-3.4411165	-1.70073549	HAVCR1P1
206646_at	4.50E-02	2.25E-03	-3.4411122	-1.08032891	GLI1
1570153_at	4.50E-02	2.25E-03	-3.4410212	-2.13750671	CCDC169
212848_s_at	4.50E-02	2.25E-03	-3.4408939	-0.74117509	C9orf3
238823_at	4.50E-02	2.25E-03	-3.440474	-1.43817247	FMNL3
212528_at	4.50E-02	2.25E-03	-3.4401618	-0.6500952	DESI1
219700_at	4.50E-02	2.25E-03	-3.4400907	-0.71959107	PLXDC1
227923_at	4.50E-02	2.25E-03	-3.4400066	-1.80327592	SHANK3
209212_s_at	4.50E-02	2.25E-03	3.439865	1.35696621	KLF5
204636_at	4.50E-02	2.25E-03	3.4398374	2.37035681	COL17A1
203851_at	4.50E-02	2.26E-03	-3.4395789	-1.21697072	IGFBP6
212764_at	4.50E-02	2.26E-03	-3.4391233	-1.6593867	ZEB1
204573_at	4.50E-02	2.26E-03	3.4390188	0.67952962	CROT
233604_at	4.50E-02	2.26E-03	3.4389317	1.989017	FLJ22763
227121_at	4.51E-02	2.26E-03	-3.4382217	-0.87371574	ZBTB20
218261_at	4.51E-02	2.26E-03	3.4380559	1.81634325	AP1M2
1566608_at	4.51E-02	2.27E-03	3.4375902	1.79988896	
219436_s_at	4.51E-02	2.27E-03	-3.437528	-1.00998088	EMCN
202488_s_at	4.51E-02	2.27E-03	3.4375235	1.56792596	FXYD3
225898_at	4.51E-02	2.27E-03	-3.4371586	-0.76303735	WDR54
222701_s_at	4.51E-02	2.27E-03	3.4370946	0.60499059	CHCHD7
210907_s_at	4.51E-02	2.27E-03	3.4365516	0.73818402	PDCD10
221986_s_at	4.52E-02	2.28E-03	3.4359043	0.70902575	KLHL24
207157_s_at	4.52E-02	2.28E-03	3.4358431	0.77185225	GNG5
228548_at	4.53E-02	2.28E-03	-3.4349801	-1.16816152	RAP1A
206600_s_at	4.53E-02	2.28E-03	3.4347752	0.79078798	SLC16A5
207332_s_at	4.53E-02	2.28E-03	3.4346917	1.31722218	TFRC
228108_at	4.53E-02	2.28E-03	-3.4343556	-1.06739997	PPM1L
221245_s_at	4.53E-02	2.28E-03	3.4342175	1.4335557	FZD5
208783_s_at	4.53E-02	2.29E-03	3.4339856	0.75953587	CD46
206312_at	4.53E-02	2.29E-03	3.4339683	2.04565552	GUCY2C
205633_s_at	4.53E-02	2.29E-03	3.4339235	0.96197751	ALAS1
210881_s_at	4.53E-02	2.29E-03	-3.4334551	-1.70756541	INS-IGF2///IGF2
203245_s_at	4.53E-02	2.29E-03	-3.433332	-1.26028736	LINC00094
218910_at	4.54E-02	2.29E-03	3.4324054	0.6861081	ANO10
229399_at	4.54E-02	2.30E-03	3.4315845	1.07371943	CCDC186
221220_s_at	4.55E-02	2.30E-03	3.4311051	1.57263493	SCYL2
208650_s_at	4.55E-02	2.30E-03	3.4311037	1.75328904	CD24
243601_at	4.55E-02	2.30E-03	-3.4309413	-1.59517571	LOC285957
1565659_at	4.55E-02	2.31E-03	-3.4303283	-1.20838665	FUT6
210385_s_at	4.55E-02	2.31E-03	3.4303204	0.8354717	ERAP1
214347_s_at	4.55E-02	2.31E-03	3.4302256	2.29708519	DDC
203440_at	4.55E-02	2.31E-03	-3.4299354	-2.15125957	CDH2
222564_at	4.55E-02	2.31E-03	-3.4298499	-1.40393704	POGK
209583_s_at	4.56E-02	2.32E-03	-3.4287201	-0.89997894	CD200
1554824_at	4.57E-02	2.32E-03	-3.4278878	-1.93583589	ZNF585A
208967_s_at	4.57E-02	2.32E-03	3.4273725	0.75675953	AK2
232995_at	4.58E-02	2.32E-03	-3.4270489	-1.63210362	
201724_s_at	4.58E-02	2.33E-03	3.4264381	0.79006333	GALNT1
234983_at	4.58E-02	2.33E-03	3.4264235	0.76005687	C12orf49
65517_at	4.58E-02	2.33E-03	3.4263366	1.8732179	AP1M2
211066_x_at	4.60E-02	2.34E-03	-3.4244803	-1.0074756	PCDHGA1///PCDHGA2///PCDHGA3///PCDHGA4///PCDHGA5///PCDHGA6///PCDHGA7///PCDHGA9///PCDHGA10///PCDHGA11///PCDHGB1///PCDHGB2///PCDHGB3///PCDHGB5///PCDHGB6///PCDHGB7///PCDHGC4///PCDHGC5///PCDHGA12///PCDHGA8///PCDHGB4///PCDHGC3
216973_s_at	4.60E-02	2.34E-03	3.4240671	0.85799708	HOXB7
219024_at	4.60E-02	2.34E-03	3.4239701	0.74140392	PLEKHA1
220768_s_at	4.60E-02	2.35E-03	3.423333	0.69261738	CSNK1G3
239761_at	4.60E-02	2.35E-03	3.4232311	0.8505423	GCNT1
204469_at	4.60E-02	2.35E-03	-3.4232217	-2.06868	PTPRZ1
228194_s_at	4.60E-02	2.35E-03	-3.423142	-1.25159556	SORCS1
227690_at	4.60E-02	2.35E-03	-3.423056	-2.1005065	GABRB3
215017_s_at	4.60E-02	2.35E-03	3.4228986	0.87473629	FNBP1L
238512_at	4.60E-02	2.35E-03	-3.4228417	-1.42703096	WNT2B
213075_at	4.60E-02	2.35E-03	-3.4228027	-1.61044833	OLFML2A
240878_at	4.60E-02	2.35E-03	-3.4227089	-1.97133515	SPEM1
211677_x_at	4.60E-02	2.35E-03	-3.4224107	-1.7440616	CADM3
218844_at	4.60E-02	2.35E-03	3.4223789	0.97002395	ACSF2
230327_at	4.60E-02	2.35E-03	-3.4218854	-1.11921937	LOC730098
241138_at	4.60E-02	2.35E-03	-3.4216766	-1.75383803	
203787_at	4.61E-02	2.36E-03	-3.4212123	-0.84202545	SSBP2
232077_s_at	4.61E-02	2.36E-03	3.420561	1.57989689	YPEL3
240110_at	4.62E-02	2.37E-03	3.4199062	1.56404692	HMGCS2
204213_at	4.62E-02	2.37E-03	3.4195847	1.83176396	PIGR
215706_x_at	4.63E-02	2.37E-03	-3.4188835	-1.10645418	ZYX
232202_at	4.63E-02	2.37E-03	3.418761	1.87658855	FAM83B
227236_at	4.63E-02	2.37E-03	-3.4183996	-1.61650625	TSPAN2
202786_at	4.65E-02	2.38E-03	3.4164399	0.73236979	STK39
203350_at	4.65E-02	2.39E-03	3.4163482	0.6886354	AP1G1
208934_s_at	4.65E-02	2.39E-03	3.41612	0.72130703	LGALS8
205776_at	4.65E-02	2.39E-03	3.4156592	1.48901341	FMO5
213800_at	4.66E-02	2.39E-03	-3.4150271	-1.30146496	CFH
212704_at	4.66E-02	2.39E-03	-3.4149959	-0.79932479	ZCCHC11
224733_at	4.66E-02	2.39E-03	-3.4148987	-1.06174409	CMTM3
209473_at	4.66E-02	2.40E-03	-3.4146834	-1.04050804	ENTPD1
230584_at	4.66E-02	2.40E-03	-3.4143829	-1.56394277	LOC100287728///ZNF75D
212653_s_at	4.66E-02	2.40E-03	-3.4143201	-0.97606257	EHBP1
212136_at	4.66E-02	2.40E-03	-3.4140843	-1.23744402	ATP2B4
1563687_a_at	4.66E-02	2.40E-03	3.4137716	1.87701351	FRYL
228128_x_at	4.66E-02	2.40E-03	-3.413747	-1.02058742	PAPPA
202411_at	4.66E-02	2.40E-03	3.4135143	1.51810158	IFI27
224823_at	4.67E-02	2.41E-03	-3.4127607	-1.26408321	MYLK
229545_at	4.67E-02	2.41E-03	3.4121093	0.69927017	FERMT1
